callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
WCSZ,day_2,0.6334220319986343,WCSZ_2_D_as1.kml,34.9201111111111,-82.4567777777778,1070.0,50.0,Southeast,SC,SANS SOUCI,"REDEMPTION STRATEGIES BROADCASTING, LLC"
KQDI,night_2,0.326441035955213,KQDI_2_N_as3.kml,47.4655,-111.323583333333,1450.0,0.72,Rockies,MT,GREAT FALLS,STARADIO CORP.
WCND,day_2,0.28027090372052044,WCND_2_D_as1.kml,38.2133333333333,-85.1711111111111,940.0,0.01,Mid-South,KY,SHELBYVILLE,
WAFC,day_0.5,8.366059131280053,WAFC_0.5_D_as1.kml,26.7297777777778,-80.9133888888889,590.0,0.93,Southeast,FL,CLEWISTON,GLADES MEDIA COMPANY LLP
KELY,day_2,0.08979726582765579,KELY_2_D_as3.kml,39.2625,-114.862777777778,1230.0,0.25,Southwest,NV,ELY,"Ely Radio, LLC"
WBLF,night_2,0.11911630094982684,WBLF_2_N_as1.kml,40.9033333333333,-77.7683333333333,970.0,0.07,Great Lakes,PA,BELLEFONTE,"SCHLESINGER COMMUNICATIONS, INC."
KVOZ,night_2,2.3497088629519567,KVOZ_2_N_as1.kml,27.5491666666667,-99.3725,890.0,1.0,Gulf Coast,TX,DEL MAR HILLS,"CONSOLIDATED RADIO, INC."
KCFO,day_0.5,5.384871837683022,KCFO_0.5_D_as1.kml,36.1961944444444,-96.0397222222222,970.0,1.0,Plains,OK,TULSA,"SMG - TULSA, LLC"
KIKR,night_2,0.724510473490227,KIKR_2_N_as1.kml,30.0643888888889,-94.1198888888889,1450.0,1.0,Gulf Coast,TX,BEAUMONT,CUMULUS LICENSING LLC
WFER,night_2,0.1889083671849221,WFER_2_N_as3.kml,46.0652777777778,-88.6380555555556,1230.0,1.0,Great Lakes,MI,IRON RIVER,Queen Bee's Knees LLC
WNAV,day_2,0.6413898072205484,WNAV_2_D_as1.kml,38.9833333333333,-76.5225,1430.0,1.0,Mid-Atlantic,MD,ANNAPOLIS,"Victory Media of Maryland, LLC"
WMSA,day_2,0.2092473884113133,WMSA_2_D_as1.kml,44.9031111111111,-74.8835277777778,1340.0,0.91,Northeast,NY,MASSENA,"STEPHENS MEDIA GROUP MASSENA,  LLC"
KKRK,night_2,0.9075763828586787,KKRK_2_N_as1.kml,42.6019444444445,-113.7225,970.0,2.5,Rockies,ID,RUPERT,"LEE FAMILY BROADCASTING, INC."
WTKG,night_2,0.30230918421875685,WTKG_2_N_as1.kml,42.995,-85.6766666666667,1230.0,1.0,Great Lakes,MI,GRAND RAPIDS,"IHM LICENSES, LLC"
WCKA,day_2,1.2806218978366815,WCKA_2_D_as1.kml,33.8494444444444,-85.7627777777778,810.0,0.5,Gulf Coast,AL,JACKSONVILLE,"ALABAMA 810, LLC"
KTSN,night_2,0.7884205768350512,KTSN_2_N_as1.kml,30.3202777777778,-97.6497222222222,1060.0,0.69,Gulf Coast,TX,SAN LEANNA,Recharge Media PBC
WVRQ,day_2,0.1327536350581795,WVRQ_2_D_as1.kml,43.5344444444444,-90.8730555555556,1360.0,0.023,Great Lakes,WI,VIROQUA,ROBINSON MEDIA CORPORATION
WITO,day_2,0.07310600602068007,WITO_2_D_as3.kml,38.5394444444444,-82.6713888888889,1230.0,1.0,Great Lakes,OH,IRONTON,"KW Ministries, Inc."
KEST,night_2,1.394873476936482,KEST_2_N_as1.kml,37.7160555555556,-122.394972222222,1450.0,1.0,California,CA,SAN FRANCISCO,"MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC"
WHAS,night_2,4.246332821203396,WHAS_2_N_as3.kml,38.2611111111111,-85.4286111111111,840.0,50.0,Mid-South,KY,LOUISVILLE,"IHM LICENSES, LLC"
WBCR,day_2,0.05490627803374082,WBCR_2_D_as1.kml,35.7679722222222,-84.0158611111111,1470.0,0.077,Mid-South,TN,ALCOA,BLOUNT COUNTY BROADCASTING CORP.
WMCA,day_2,4.766593656153418,WMCA_2_D_as1.kml,40.7528888888889,-74.10375,570.0,5.0,Northeast,NY,NEW YORK,"SALEM MEDIA OF MASSACHUSETTS, LLC"
KIDR,night_2,1.2690426538465545,KIDR_2_N_as1.kml,33.3653333333333,-112.109027777778,740.0,0.292,Southwest,AZ,PHOENIX,"EN FAMILIA, INC."
WCLT,day_0.5,0.6849273071857169,WCLT_0.5_D_as1.kml,40.0338888888889,-82.4022222222222,1430.0,0.5,Great Lakes,OH,NEWARK,"WCLT Radio, Inc."
WBBT,night_2,0.11704802850726992,WBBT_2_N_as3.kml,32.2133333333333,-82.3319444444445,1340.0,1.0,Southeast,GA,LYONS,"T.C.B. BROADCASTING, INC"
WDJO,night_2,0.40359661786351353,WDJO_2_N_as1.kml,39.212,-84.4888333333333,1480.0,4.5,Great Lakes,OH,CINCINNATI,"MUSTANG MEDIA, INC."
KRCN,night_2,2.978177575743757,KRCN_2_N_as1.kml,40.1910833333333,-105.126916666667,1060.0,0.111,Rockies,CO,LONGMONT,"Catholic Radio Network, Inc."
WVEI,night_2,0.1244794063968584,WVEI_2_N_as1.kml,42.2898055555556,-71.8461944444444,1440.0,5.0,Northeast,MA,WORCESTER,"Audacy License, LLC"
WKEX,day_2,0.05629345460329205,WKEX_2_D_as1.kml,37.2325,-80.4444444444444,1430.0,0.062,Mid-Atlantic,VA,BLACKSBURG,"BASE COMMUNICATIONS, INC"
KGOW,day_2,1.590544650098309,KGOW_2_D_as1.kml,29.3271944444444,-95.5502222222222,1560.0,15.0,Gulf Coast,TX,BELLAIRE,"GOW MEDIA, LLC"
KMIC,day_0.5,6.0812487212824635,KMIC_0.5_D_as1.kml,29.8438888888889,-95.4475,1590.0,5.0,Gulf Coast,TX,HOUSTON,"DAIJ MEDIA, LLC"
KIAM,day_0.5,7.618637118721381,KIAM_0.5_D_as1.kml,64.4781388888889,-149.0885,630.0,3.1,Alaska,AK,NENANA,"VOICE FOR CHRIST MINISTRIES, INC."
WULT,day_2,0.045695570297539234,WULT_2_D_as1.kml,37.5443055555556,-77.3460833333333,1540.0,1.0,Mid-Atlantic,VA,SANDSTON,"MOBILE RADIO PARTNERS, INC."
WHSQ,night_2,6.513219281216152,WHSQ_2_N_as3.kml,40.8597222222222,-73.7858333333333,880.0,50.0,Northeast,NY,NEW YORK,"Audacy License, LLC"
WGTO,day_0.5,0.6050236104056239,WGTO_0.5_D_as1.kml,41.9538888888889,-86.0163888888889,910.0,1.0,Great Lakes,MI,CASSOPOLIS,
KWYN,day_2,0.25957991171162575,KWYN_2_D_as1.kml,35.2561944444444,-90.7967777777778,1400.0,1.0,Mid-South,AR,WYNNE,"EAST ARKANSAS BROADCASTERS, INC."
WETZ,night_2,0.09606542531400919,WETZ_2_N_as1.kml,39.6575,-80.8594444444444,1330.0,0.059,Mid-Atlantic,WV,NEW MARTINSVILLE,DAILEY CORPORATION
WCKY,day_0.5,4.41447671642527,WCKY_0.5_D_as1.kml,39.0686111111111,-84.6055555555556,1530.0,50.0,Great Lakes,OH,CINCINNATI,"IHM LICENSES, LLC"
WXQW,night_2,3.289890013867989,WXQW_2_N_as1.kml,30.5974166666667,-87.8827777777778,660.0,10.0,Gulf Coast,AL,FAIRHOPE,CUMULUS LICENSING LLC
KSBQ,night_2,0.9712003521854058,KSBQ_2_N_as1.kml,34.9505555555556,-120.489444444444,1480.0,1.0,California,CA,SANTA MARIA,"LAZER LICENSES, LLC"
KROE,day_0.5,4.671785501413979,KROE_0.5_D_as1.kml,44.7983333333333,-106.930833333333,930.0,5.0,Rockies,WY,SHERIDAN,"LOVCOM, INC."
KGHM,night_2,0.9010491719236597,KGHM_2_N_as1.kml,35.4995,-97.5094722222222,1340.0,1.0,Plains,OK,MIDWEST CITY,"IHM LICENSES, LLC"
KQMS,day_0.5,1.3546633281512186,KQMS_0.5_D_as1.kml,40.5584722222222,-122.331111111111,1670.0,10.0,California,CA,REDDING,"SMG-REDDING, LLC"
WKYK,day_0.5,0.9501580968499184,WKYK_0.5_D_as1.kml,35.9255555555556,-82.2722222222222,940.0,4.6,Southeast,NC,BURNSVILLE,"MARK MEDIA, INC."
WWVA,night_2,1.3546745656058192,WWVA_2_N_as1.kml,40.1020277777778,-80.8670277777778,1170.0,50.0,Mid-Atlantic,WV,WHEELING,"IHM LICENSES, LLC"
KEES,night_2,0.4442482207668945,KEES_2_N_as1.kml,32.5295833333333,-94.8807777777778,1430.0,1.0,Gulf Coast,TX,GLADEWATER,La Promesa Foundation
WJRW,day_2,0.26298253622371703,WJRW_2_D_as3.kml,42.9513888888889,-85.6986111111111,1340.0,1.0,Great Lakes,MI,GRAND RAPIDS,"RADIO LICENSE HOLDING CBC, LLC"
WROY,night_2,0.23537540214601904,WROY_2_N_as1.kml,38.0825555555556,-88.2016944444444,1460.0,1.0,Great Lakes,IL,CARMI,"THE ORIGINAL COMPANY, INC."
WIXE,night_2,0.30782268452458084,WIXE_2_N_as1.kml,34.9615277777778,-80.5442222222222,1190.0,0.07,Southeast,NC,MONROE,"MONROE BROADCASTING COMPANY, INC."
WIDU,day_2,0.1020645258249715,WIDU_2_D_as1.kml,35.0985,-78.8864166666667,1600.0,0.147,Southeast,NC,FAYETTEVILLE,"W I D U BROADCASTING, INC."
KNEU,day_2,1.0351257944712415,KNEU_2_D_as1.kml,40.2869444444444,-109.958888888889,1250.0,0.129,Rockies,UT,ROOSEVELT,"COUNTRY GOLD BROADCASTING, INC."
WLLY,day_0.5,0.22416788554983214,WLLY_0.5_D_as1.kml,35.7233333333333,-77.9211111111111,1350.0,1.0,Southeast,NC,WILSON,ESTUARDO VALDEMAR RODRIGUEZ
KOSS,night_2,0.2327500976389274,KOSS_2_N_as1.kml,34.7119166666667,-118.177027777778,1380.0,0.02,California,CA,LANCASTER,HIGH DESERT BROADCASTING LLC
WKLK,day_0.5,1.2964001521468163,WKLK_0.5_D_as3.kml,46.7493888888889,-92.4215833333333,1230.0,0.72,Upper Midwest,MN,CLOQUET,FOND DU LAC BAND OF LAKE SUPERIOR CHIPPEWA
WXRL,day_0.5,2.4625693396665156,WXRL_0.5_D_as1.kml,42.8825555555556,-78.6311388888889,1300.0,2.5,Northeast,NY,LANCASTER,"DOME BROADCASTING, INC."
KCTO,day_0.5,3.634508723858744,KCTO_0.5_D_as1.kml,38.6738888888889,-94.608,1160.0,0.23,Mid-South,MO,CLEVELAND,ALPINE BROADCASTING CORPORATION
WHVN,day_0.5,0.5393123763496988,WHVN_0.5_D_as1.kml,35.2,-80.8108333333333,1240.0,1.0,Southeast,NC,CHARLOTTE,Truth Broadcasting Corporation
WJLX,day_2,0.15903772006276995,WJLX_2_D_as3.kml,33.815,-87.2719444444444,1240.0,1.0,Gulf Coast,AL,JASPER,"BLUE DOOR BROADCASTING, LLC"
WHIN,day_2,0.5132746226154268,WHIN_2_D_as1.kml,36.4333333333333,-86.4666666666667,1010.0,0.047,Mid-South,TN,GALLATIN,BRAYDEN MADISON BROADCASTING L.L.C.
KLYR,day_2,0.20027087221387774,KLYR_2_D_as1.kml,35.4877777777778,-93.8119444444444,1540.0,0.5,Mid-South,AR,OZARK,"OZARK COMMUNICATIONS, INC."
KXEO,night_2,0.31392182980198413,KXEO_2_N_as1.kml,39.1666944444444,-91.8621111111111,1340.0,0.96,Mid-South,MO,MEXICO,"KXEO RADIO, INC."
WTRP,day_2,0.5010193593334407,WTRP_2_D_as1.kml,33.0592777777778,-85.0277222222222,620.0,0.127,Southeast,GA,LA GRANGE,"TIGER COMMUNICATIONS, INC."
WODT,day_2,2.0303131891414523,WODT_2_D_as3.kml,29.8952777777778,-90.0044444444445,1280.0,5.0,Gulf Coast,LA,NEW ORLEANS,"IHM LICENSES, LLC"
WTVN,day_2,3.6423633764497936,WTVN_2_D_as1.kml,39.8761666666667,-82.9801944444445,610.0,5.0,Great Lakes,OH,COLUMBUS,"IHM LICENSES, LLC"
KCKN,day_0.5,7.963307465426624,KCKN_0.5_D_as1.kml,33.4648055555556,-104.499972222222,1020.0,50.0,Southwest,NM,ROSWELL,Radio Vision Cristiana Subsidiary Corp.
KZTQ,night_2,0.3436093634227291,KZTQ_2_N_as1.kml,39.5338055555556,-119.663805555556,1270.0,10.0,Southwest,NV,SPARKS,AMERICOM LIMITED PARTNERSHIP
WLEW,day_0.5,1.3341821880312636,WLEW_0.5_D_as1.kml,43.8008611111111,-83.023,1340.0,1.0,Great Lakes,MI,BAD AXE,"THUMB BROADCASTING, INC."
KLHT,day_2,7.683068191749044,KLHT_2_D_as1.kml,21.335,-157.893611111111,1040.0,10.0,Hawaii,HI,HONOLULU,"CALVARY CHAPEL OF HONOLULU, INC."
WQBQ,day_0.5,0.42929211229784414,WQBQ_0.5_D_as1.kml,28.7813888888889,-81.8914722222222,1410.0,0.088,Southeast,FL,LEESBURG,"Floyd Media Radio, Inc."
WCHM,day_2,0.048943290021270514,WCHM_2_D_as1.kml,34.6075833333333,-83.5373888888889,1490.0,0.79,Southeast,GA,CLARKESVILLE,"Cleiman Communications, LLC"
KBCL,day_2,0.29920372273772955,KBCL_2_D_as1.kml,32.5372222222222,-93.7244444444444,1070.0,0.25,Gulf Coast,LA,BOSSIER CITY,BARNABAS CENTER MINISTRIES
KLOK,night_2,12.738227114197798,KLOK_2_N_as1.kml,37.3577222222222,-121.872444444444,1170.0,50.0,California,CA,SAN JOSE,"Punjabi American Media, LLC"
KFAB,day_2,6.64425858145114,KFAB_2_D_as1.kml,41.1197222222222,-96.0019722222222,1110.0,50.0,Plains,NE,OMAHA,"IHM LICENSES, LLC"
WLZR,day_2,4.321985289163422,WLZR_2_D_as1.kml,28.1277777777778,-80.7080555555556,1560.0,5.0,Southeast,FL,MELBOURNE,CUMULUS LICENSING LLC
WFYC,day_2,0.35553511895705014,WFYC_2_D_as1.kml,43.368916666666706,-84.6052777777778,1280.0,1.0,Great Lakes,MI,ALMA,"JACOM, INC."
WWIN,day_2,0.1685135706793517,WWIN_2_D_as1.kml,39.3017777777778,-76.5688611111111,1400.0,0.5,Mid-Atlantic,MD,BALTIMORE,"RADIO ONE LICENSES, LLC"
KPMI,day_0.5,0.9068645155057311,KPMI_0.5_D_as1.kml,47.4421666666667,-94.8661111111111,1300.0,0.6,Upper Midwest,MN,BEMIDJI,"PASKVAN MEDIA, INC."
KFXN,night_2,0.7898709408473223,KFXN_2_N_as1.kml,45.0233055555556,-93.3816111111111,690.0,0.005,Upper Midwest,MN,MINNEAPOLIS,"ASIAN AMERICAN BROADCASTING, LLC"
KSWB,night_2,2.5800366026815027,KSWB_2_N_as1.kml,45.9819444444444,-123.917222222222,840.0,0.5,Pacific Northwest,OR,SEASIDE,"Jacobs Radio Programming, LLC"
KYES,day_2,0.9284343036124483,KYES_2_D_as1.kml,45.3619166666667,-94.2994444444445,1180.0,8.0,Upper Midwest,MN,ROCKVILLE,GABRIEL MEDIA
KHNC,night_2,0.7424534674501047,KHNC_2_N_as1.kml,40.38636111111111,-104.905805555556,1360.0,1.0,Rockies,CO,JOHNSTOWN,"EXCURSION BROADCASTING NETWORK, LLC"
KOKX,day_2,0.753168509574607,KOKX_2_D_as1.kml,40.3805555555556,-91.3525,1310.0,0.5,Plains,IA,KEOKUK,KEOKUK BROADCASTING INC
KKGR,night_2,1.4196556201204658,KKGR_2_N_as1.kml,46.5688888888889,-111.908888888889,680.0,5.0,Rockies,MT,EAST HELENA,"KGR, LLC"
KCIS,day_2,2.8242491313721985,KCIS_2_D_as1.kml,47.849833333333294,-122.161805555556,630.0,5.0,Pacific Northwest,WA,EDMONDS,CRISTA Ministries
WTAM,night_2,3.2507588035659865,WTAM_2_N_as3.kml,41.28061111111111,-81.6226111111111,1100.0,50.0,Great Lakes,OH,CLEVELAND,"IHM LICENSES, LLC"
WTBO,day_2,0.11566360830329359,WTBO_2_D_as1.kml,39.6461388888889,-78.7519722222222,1450.0,1.0,Mid-Atlantic,MD,CUMBERLAND,"FM RADIO LICENSES, LLC"
KASZ,night_2,0.662694649072364,KASZ_2_N_as1.kml,34.2836944444444,-92.1276388888889,1190.0,25.0,Mid-South,AR,WHITE HALL,"BROADCAST INDUSTRY GROUP, LLC"
WLIN,day_0.5,0.23773152870126069,WLIN_0.5_D_as1.kml,39.7388888888889,-77.6027777777778,1380.0,1.0,Great Lakes,PA,WAYNESBORO,HJV LIMITED PARTNERSHIP
WMBH,night_2,0.20226860442198813,WMBH_2_N_as1.kml,37.0892222222222,-94.563,1560.0,0.5,Mid-South,MO,JOPLIN,Land Go Radio Group LLC
WJOL,day_0.5,1.3252015584148467,WJOL_0.5_D_as3.kml,41.5350277777778,-88.0542222222222,1340.0,1.0,Great Lakes,IL,JOLIET,ALPHA MEDIA LICENSEE LLC
WOCA,day_0.5,0.6763733017141931,WOCA_0.5_D_as1.kml,29.2013611111111,-82.15175,1370.0,0.033,Southeast,FL,OCALA,GENERATIONS BROADCASTING CORPORATION
WHHV,day_2,0.05806347937323153,WHHV_2_D_as3.kml,36.75,-80.7222222222222,1400.0,1.0,Mid-Atlantic,VA,HILLSVILLE,"NEW LIFE CHRISTIAN COMMUNICATIONS, INC."
KHXM,night_2,0.043478993931785226,KHXM_2_N_as1.kml,21.4383333333333,-157.991388888889,1370.0,0.25,Hawaii,HI,PEARL CITY,"HOCHMAN HAWAII TWO, INC."
KOFE,day_0.5,0.2971119668800384,KOFE_0.5_D_as1.kml,47.3205555555556,-116.547222222222,1240.0,1.0,Rockies,ID,ST. MARIES,
WYBC,night_2,0.24158084904775023,WYBC_2_N_as1.kml,41.2925833333333,-72.9528888888889,1340.0,0.88,Northeast,CT,NEW HAVEN,"YALE BROADCASTING COMPANY, INC."
KTMS,day_2,5.186314617865719,KTMS_2_D_as1.kml,34.4708333333333,-119.675833333333,990.0,5.0,California,CA,SANTA BARBARA,RINCON BROADCASTING LS LLC
KVLI,night_2,0.19236679887399077,KVLI_2_N_as1.kml,35.6321666666667,-118.476194444444,1140.0,1.0,California,CA,LAKE ISABELLA,Hill Broadcasting
KEED,day_2,0.16368929378222674,KEED_2_D_as3.kml,44.0816666666667,-123.109444444444,1450.0,1.0,Pacific Northwest,OR,EUGENE,MIELKE BROADCASTING GROUP
KBAR,day_2,0.3651916804956272,KBAR_2_D_as3.kml,42.5347222222222,-113.815,1230.0,1.0,Rockies,ID,BURLEY,"LEE FAMILY BROADCASTING, INC."
WZOO,day_0.5,1.6316559934057295,WZOO_0.5_D_as1.kml,35.7640277777778,-79.8341944444444,700.0,1.0,Southeast,NC,ASHEBORO,"RCR OF RANDOLPH COUNTY, LTD"
WYNY,day_2,0.07139919267501682,WYNY_2_D_as1.kml,41.3361944444444,-74.7954444444444,1450.0,1.0,Great Lakes,PA,MILFORD,"Digital Radio Broadcasting, Inc."
WATN,night_2,0.18765721004456282,WATN_2_N_as3.kml,43.9802777777778,-75.9366666666667,1240.0,1.0,Northeast,NY,WATERTOWN,"COMMUNITY BROADCASTERS, LLC"
KLTZ,night_2,0.8645271031418815,KLTZ_2_N_as1.kml,48.2186111111111,-106.646111111111,1240.0,1.0,Rockies,MT,GLASGOW,"Glasgow Media Group, LLC"
KJRG,night_2,1.2877486982615665,KJRG_2_N_as1.kml,38.0441666666667,-97.3728055555555,950.0,0.5,Plains,KS,NEWTON,"COMMUNITY BROADCASTING, INC."
WINI,night_2,0.17526088876184076,WINI_2_N_as1.kml,37.7572777777778,-89.2334166666667,1420.0,0.053,Great Lakes,IL,MURPHYSBORO,"SOUTHERN ILLINOIS RADIO GROUP, INC."
KRCO,day_2,0.7052818220108747,KRCO_2_D_as1.kml,44.3411111111111,-120.906666666667,690.0,0.077,Pacific Northwest,OR,PRINEVILLE,HORIZON BROADCASTING GROUP LLC
KHOZ,day_2,0.6581079277675599,KHOZ_2_D_as1.kml,36.2431388888889,-93.1121111111111,900.0,0.062,Mid-South,AR,HARRISON,"OZARK MOUNTAIN MEDIA GROUP, LLC"
WJBS,day_0.5,0.34753676695981994,WJBS_0.5_D_as1.kml,33.3397222222222,-80.4383333333333,1440.0,1.0,Southeast,SC,HOLLY HILL,HARRY J GOVAN
WFNB,day_0.5,1.111228330526501,WFNB_0.5_D_as1.kml,39.51225,-87.1383611111111,1130.0,0.5,Great Lakes,IN,BRAZIL,JKO Media Group
KCLX,night_2,0.3332778781186789,KCLX_2_N_as1.kml,46.9137777777778,-117.325472222222,1450.0,1.0,Pacific Northwest,WA,COLFAX,"Inland Northwest Broadcasting, LLC"
KYNS,day_2,1.0638122828677297,KYNS_2_D_as1.kml,35.2341388888889,-120.676833333333,1340.0,0.79,California,CA,SAN LUIS OBISPO,DIMES MEDIA CORPORATION
WRDZ,day_2,0.6731558177853003,WRDZ_2_D_as1.kml,41.67475,-87.7625555555556,1300.0,4.5,Great Lakes,IL,LA GRANGE,"POLNET COMMUNICATIONS, LTD."
WAAM,night_2,0.37384981696959585,WAAM_2_N_as1.kml,42.1922222222222,-83.6858333333333,1600.0,5.0,Great Lakes,MI,ANN ARBOR,"COOLARITY A2, LLC"
KXLY,day_2,1.5383152710273862,KXLY_2_D_as1.kml,47.6085,-117.374666666667,920.0,20.0,Pacific Northwest,WA,SPOKANE,"QUEENB RADIO, INC."
WECK,day_2,0.3515188676537946,WECK_2_D_as1.kml,42.92416666666671,-78.7780555555556,1230.0,1.0,Northeast,NY,CHEEKTOWAGA,"RADIO ONE BUFFALO, LLC"
WPSP,day_2,0.5354185039759614,WPSP_2_D_as1.kml,26.8172777777778,-80.2517222222222,1190.0,0.41,Southeast,FL,ROYAL PALM BEACH,
KBJD,night_2,0.9936481704935431,KBJD_2_N_as1.kml,39.7988888888889,-104.97,1650.0,1.0,Rockies,CO,DENVER,"SALEM MEDIA OF COLORADO, INC."
KAPS,night_2,3.81619269028306,KAPS_2_N_as1.kml,48.4384444444444,-122.345444444444,660.0,10.0,Pacific Northwest,WA,MOUNT VERNON,"J & J BROADCASTING, INC."
WKQW,day_2,0.09860073565505445,WKQW_2_D_as1.kml,41.39583333333329,-79.6647222222222,1120.0,1.0,Great Lakes,PA,OIL CITY,"J2 Media, LLC"
KIDR,day_0.5,4.718404009705409,KIDR_0.5_D_as1.kml,33.3653333333333,-112.109027777778,740.0,0.292,Southwest,AZ,PHOENIX,"EN FAMILIA, INC."
KPEL,day_2,0.2878250507055782,KPEL_2_D_as1.kml,30.2772222222222,-92.0641666666667,1420.0,1.0,Gulf Coast,LA,LAFAYETTE,"TOWNSQUARE MEDIA OF LAFAYETTE, LLC"
WSVA,night_2,0.8822295186109841,WSVA_2_N_as1.kml,38.4512222222222,-78.9078055555556,550.0,5.0,Mid-Atlantic,VA,HARRISONBURG,"TIDEWATER COMMUNICATIONS, LLC"
WCMY,day_2,0.17970835289452225,WCMY_2_D_as1.kml,41.3480555555556,-88.8041666666667,1430.0,0.5,Great Lakes,IL,OTTAWA,"NRG LICENSE SUB, LLC"
KJNP,day_2,1.8992860345169902,KJNP_2_D_as1.kml,64.7590277777778,-147.326305555556,1170.0,50.0,Alaska,AK,NORTH POLE,"EVANGELISTIC ALASKA MISSIONARY FELLOWSHIP, INC."
WGBW,day_2,0.5683821139391512,WGBW_2_D_as1.kml,44.3138888888889,-87.7878611111111,1590.0,10.0,Great Lakes,WI,DENMARK,"Civic Media, Inc."
KSMM,day_0.5,2.923868451616727,KSMM_0.5_D_as1.kml,37.0653055555556,-100.866833333333,1470.0,1.0,Plains,KS,LIBERAL,My Town Media Inc
WXKS,night_2,5.734271597350016,WXKS_2_N_as1.kml,42.289,-71.1886666666667,1200.0,50.0,Northeast,MA,NEWTON,"IHM LICENSES, LLC"
WFNY,night_2,0.15184897370636463,WFNY_2_N_as1.kml,43.0325833333333,-74.3501388888889,1440.0,0.5,Northeast,NY,GLOVERSVILLE,MICHAEL A. SLEEZER
WSSC,day_0.5,0.37374252680456266,WSSC_0.5_D_as1.kml,33.9293333333333,-80.3245277777778,1340.0,1.0,Southeast,SC,SUMTER,"SUMTER BAPTIST TEMPLE, INC."
KKOO,night_2,0.670795442420058,KKOO_2_N_as1.kml,44.0621111111111,-116.907111111111,1260.0,0.036,Rockies,ID,WEISER,Iliad Media Group Holdings Inc.
WBBZ,day_2,1.2368997785961255,WBBZ_2_D_as3.kml,36.6961111111111,-97.0519444444444,1230.0,1.0,Plains,OK,PONCA CITY,"STERLING BROADCASTING, LLC"
WEBC,night_2,4.098746366682462,WEBC_2_N_as1.kml,46.6436111111111,-91.9858333333333,560.0,5.0,Upper Midwest,MN,DULUTH,"Townsquare License, LLC"
KINN,day_0.5,0.44209027604665607,KINN_0.5_D_as1.kml,32.8869444444444,-105.951111111111,1270.0,1.0,Southwest,NM,ALAMOGORDO,"BURT BROADCASTING, INC."
WHTX,day_0.5,0.6533876553876325,WHTX_0.5_D_as1.kml,41.2061666666667,-80.8411944444444,1570.0,0.75,Great Lakes,OH,WARREN,"SAGITTARIUS COMMUNICATIONS, LLC"
WSON,day_2,0.553267752751708,WSON_2_D_as1.kml,37.8530555555556,-87.5366666666667,860.0,0.5,Mid-South,KY,HENDERSON,"HENSON MEDIA OF HENDERSON COUNTY, LLC"
KAZA,night_2,0.5066580933053046,KAZA_2_N_as1.kml,36.9635555555556,-121.4905,1290.0,1.5,California,CA,GILROY,"INTELLI, LLC"
KQLL,day_0.5,3.07135184656363,KQLL_0.5_D_as1.kml,36.2108055555556,-115.163888888889,1280.0,5.0,Southwest,NV,HENDERSON,"S & R BROADCASTING, INC."
WIIN,day_2,1.4485370579641312,WIIN_2_D_as1.kml,32.3868055555556,-90.1631388888889,780.0,4.4,Gulf Coast,MS,RIDGELAND,"NEW SOUTH RADIO, INC"
WBHN,day_2,0.032703934353776276,WBHN_2_D_as1.kml,35.4280555555556,-83.4383333333333,1590.0,0.5,Southeast,NC,BRYSON CITY,"FIVE FORTY BROADCASTING COMPANY, LLC"
KIRV,day_2,0.6192684092093259,KIRV_2_D_as1.kml,36.7116666666667,-119.833055555556,1510.0,10.0,California,CA,FRESNO,"CENTRO CRISTIANO VIDA ABUNDANTE, INC."
KATZ,day_0.5,2.610694610280916,KATZ_0.5_D_as1.kml,38.6172777777778,-90.0828888888889,1600.0,3.5,Mid-South,MO,ST. LOUIS,"IHM LICENSES, LLC"
WVOZ,day_0.5,16.132896171679022,WVOZ_0.5_D_as1.kml,17.9894444444444,-66.6197222222222,1260.0,2.3,Unknown,PR,PONCE,"NOTIRADIO BROADCASTING, LLC"
WJFG,day_0.5,0.28069979208521545,WJFG_0.5_D_as1.kml,40.27,-79.3869444444445,1480.0,1.0,Great Lakes,PA,LATROBE,Disruptor Radio LLC
WDAK,night_2,1.4982131413416937,WDAK_2_N_as1.kml,32.4329166666667,-84.9505,540.0,4.0,Southeast,GA,COLUMBUS,"IHM LICENSES, LLC"
KOMY,day_2,1.8733093520859256,KOMY_2_D_as1.kml,36.9618888888889,-121.981916666667,1340.0,0.85,California,CA,LA SELVA BEACH,"ZWERLING BROADCASTING SYSTEM, LTD"
WBOM,day_2,0.08660050539765507,WBOM_2_D_as1.kml,41.5538888888889,-72.8019444444444,1470.0,2.5,Northeast,CT,MERIDEN,RED WOLF BROADCASTING CORPORATION
WBTG,day_2,0.1398440320044756,WBTG_2_D_as1.kml,34.7741666666667,-87.6705555555556,1290.0,0.079,Gulf Coast,AL,SHEFFIELD,"SLATTON & ASSOCIATES BROADCASTERS, INC."
WNTF,night_2,0.12115448585245758,WNTF_2_N_as1.kml,28.5366666666667,-81.0855555555555,1580.0,0.01,Southeast,FL,BITHLO,UNITY BROADCASTING LLC
WQOF,day_0.5,2.229041236336343,WQOF_0.5_D_as1.kml,38.9998333333333,-77.0571944444445,1260.0,5.0,Mid-Atlantic,DC,WASHINGTON,"RELEVANT RADIO, INC."
